ID,Name,Age,Profession,salary,Marriage_proposal_count
205,Liam,42.0,Detective,91697,2
206,Alice,43.0,Pilot,82498,3
207,Jake,56.0,      Boxer,118456,5
208,Jake,34.0,Software Engineer,62740,3
209,Sophia,47.0,Teacher,75174,2
210,Mr. Bean,20.0,Artist,124231,6
211,Alice,53.0,Pilot,94180,1
212,Jake,52.0,Software Engineer,186421,5
213,Emma,58.0,Chef,156618,2
214,Sherlock,21.0,Chef,30164,2
215,Liam,22.0,Artist,197685,2
216,Emma,34.0,      Boxer,166356,3
217,John,56.0,      Boxer,129782,14
218,Jake,37.0,Pilot,89308,3
219,Alice,47.0,Chef,56343,1
220,Jake,49.0,Teacher,140257,2
221,Jake,38.0,Pilot,117744,5
222,Alice,55.0,Scientist,183269,3
223,Alice,31.0,Pilot,178570,3
224,Mr. Bean,42.0,Comedian,174491,15
225,John,21.0,Teacher,131446,1
226,Alice,37.0,Comedian,73190,3
227,Olivia,59.0,Detective,110055,1
228,Emma,60.0,Chef,191492,1
229,Mr. Bean,30.0,Comedian,123737,1
230,John,35.0,Teacher,31162,1
231,Jake,35.0,      Boxer,62634,6
232,Liam,54.0,Scientist,140405,1
233,Mr. Bean,26.0,Software Engineer,54795,3
234,Sophia,37.0,Doctor,170910,5
235,Mr. Bean,25.0,Scientist,179736,1
236,Jake,39.0,Artist,146054,5
237,Mr. Bean,46.0,Detective,193168,0
238,Liam,27.0,Scientist,165393,9
239,Liam,28.0,Pilot,53002,0
240,Liam,56.0,Chef,34845,0
241,Emma,27.0,Comedian,135475,3
242,Sherlock,25.0,Software Engineer,122044,2
243,Emma,42.0,Teacher,99751,4
244,John,37.0,Teacher,91984,4
245,John,36.0,Teacher,69230,11
246,Rocky,29.0,      Boxer,91963,0
247,Liam,32.0,Doctor,193498,0
248,Olivia,46.0,Teacher,55216,5
249,Alice,50.0,Artist,146226,1
250,Emma,38.0,Detective,49492,34
251,Mr. Bean,54.0,Teacher,166438,3
252,Liam,54.0,      Boxer,35494,15
253,Rocky,40.0,Chef,160067,2
254,John,24.0,Scientist,111518,4
255,Olivia,42.0,Detective,99866,2
256,Liam,28.0,Artist,177430,3
257,Sophia,54.0,Chef,176277,2
258,John,57.0,Pilot,175945,2
259,John,47.0,Chef,133320,12
260,Olivia,47.0,Software Engineer,127366,0
261,Alice,26.0,Pilot,133759,0
262,Alice,57.0,Detective,113411,4
263,Rocky,52.0,Teacher,152176,2
264,Sherlock,25.0,Pilot,64756,0
265,Sherlock,40.0,      Boxer,121346,1
266,Emma,56.0,Chef,170468,11
267,Olivia,31.0,Teacher,69629,3
268,John,25.0,      Boxer,162243,2
269,Jake,38.0,      Boxer,140702,1
270,Alice,40.0,Artist,107922,4
271,Mr. Bean,32.0,Artist,172027,2
272,Olivia,26.0,Doctor,85474,0
273,Alice,49.0,Software Engineer,51964,6
274,Emma,23.0,Doctor,143824,2
275,Jake,43.0,Doctor,73276,1
276,Olivia,44.0,Comedian,68326,1
277,Emma,38.0,Pilot,52178,1
278,John,58.0,Scientist,93076,0
279,Mr. Bean,20.0,      Boxer,35326,4
280,Olivia,37.0,Scientist,81921,12
281,Liam,60.0,Artist,177074,1
282,Liam,50.0,Chef,187825,2
283,Jake,55.0,Doctor,100466,0
284,Jake,50.0,Doctor,113225,0
285,Jake,46.0,Detective,30971,1
286,John,34.0,Pilot,39780,2
287,John,21.0,Software Engineer,177857,14
288,Jake,48.0,      Boxer,78423,0
289,Liam,56.0,Teacher,51422,4
290,John,25.0,Scientist,164965,4
291,Rocky,58.0,Doctor,166138,5
292,John,39.0,Software Engineer,186825,0
293,Sophia,42.0,      Boxer,34990,2
294,Alice,40.0,Software Engineer,168268,7
295,Sherlock,27.0,Pilot,162167,3
296,Rocky,42.0,      Boxer,50388,5
297,Alice,22.0,Artist,180368,3
298,Emma,55.0,Scientist,143154,1
299,Sophia,49.0,Chef,142053,1
300,Emma,35.0,Detective,179021,32
301,Liam,31.0,Chef,108961,12
302,Sherlock,22.0,Scientist,85389,5
303,Emma,49.0,Teacher,52878,5
304,Sophia,25.0,Scientist,89963,0
305,Alice,26.0,Detective,91298,2
306,Alice,25.0,Pilot,161908,2
307,Rocky,30.0,Comedian,196351,0
308,Emma,46.0,Pilot,113792,8
309,Liam,43.0,Comedian,188512,4
310,John,57.0,Software Engineer,175585,5
311,Olivia,48.0,Artist,165538,2
312,Mr. Bean,39.0,Artist,37864,2
313,Olivia,47.0,Detective,192616,2
314,Rocky,42.0,Scientist,124646,4
315,Emma,46.0,      Boxer,133014,9
316,Emma,40.0,      Boxer,60428,1
317,Alice,51.0,Comedian,102420,0
318,Rocky,59.0,Pilot,82474,1
319,Mr. Bean,37.0,Scientist,184252,4
320,Alice,48.0,Comedian,39467,0
321,Emma,53.0,Chef,78403,0
322,Olivia,34.0,Scientist,163771,5
323,John,58.0,Teacher,83298,4
324,Liam,54.0,Doctor,187432,4
325,Sophia,25.0,      Boxer,103240,4
326,Mr. Bean,34.0,Pilot,63797,5
327,Sherlock,25.0,Scientist,90810,4
328,Liam,58.0,Detective,153736,3
329,Alice,41.0,Comedian,73931,14
330,Sherlock,40.0,Scientist,30905,0
331,Jake,40.0,Comedian,112754,2
332,Rocky,20.0,Comedian,179928,0
333,Mr. Bean,39.0,Teacher,54445,0
334,Mr. Bean,57.0,Doctor,37985,5
335,Emma,20.0,Detective,62711,2
336,Jake,54.0,Chef,124835,14
337,Sherlock,58.0,      Boxer,113356,4
338,Emma,39.0,      Boxer,84276,4
339,Sophia,32.0,Detective,181192,0
340,Emma,23.0,Detective,52670,4
341,Emma,55.0,Scientist,116881,0
342,Jake,27.0,Scientist,150577,0
343,Emma,35.0,Pilot,174038,14
344,Mr. Bean,41.0,      Boxer,60849,0
345,Sherlock,45.0,Scientist,92951,5
346,Alice,60.0,Comedian,104236,5
347,Jake,53.0,Chef,45617,5
348,Olivia,35.0,Doctor,38732,0
349,Sophia,50.0,Comedian,84575,2
350,Mr. Bean,58.0,Teacher,34337,37
351,John,26.0,Scientist,127895,3
352,Olivia,22.0,Comedian,140531,1
353,Emma,27.0,Teacher,88679,3
354,Liam,44.0,Scientist,184412,5
355,John,48.0,Software Engineer,144379,2
356,Sherlock,29.0,Comedian,166394,2
357,Mr. Bean,37.0,Comedian,124626,13
358,Sherlock,24.0,Doctor,62163,3
359,Liam,35.0,Pilot,31129,4
360,Alice,36.0,Teacher,56591,0
361,Emma,25.0,Artist,113041,1
362,Sophia,32.0,Chef,125267,0
363,Liam,28.0,Pilot,135181,5
364,Alice,25.0,Software Engineer,105197,10
365,Liam,35.0,      Boxer,45935,3
366,Sophia,45.0,Chef,130202,4
367,John,27.0,Chef,62415,0
368,Sophia,42.0,Doctor,180983,4
369,John,60.0,Doctor,82458,5
370,John,27.0,Teacher,181813,4
371,Alice,49.0,Chef,157351,12
372,Jake,20.0,Pilot,58824,1
373,Jake,54.0,Doctor,134314,2
374,Alice,57.0,Scientist,157356,2
375,Mr. Bean,37.0,Chef,91814,3
376,Olivia,50.0,      Boxer,80837,2
377,Jake,38.0,Detective,192581,3
378,Jake,21.0,Comedian,132670,6
379,Jake,44.0,Comedian,61725,1
380,Rocky,50.0,Software Engineer,77367,3
381,Sherlock,49.0,Comedian,119581,5
382,Mr. Bean,29.0,      Boxer,150254,4
383,Jake,51.0,Doctor,37418,0
384,John,23.0,      Boxer,30976,3
385,Emma,28.0,Chef,63580,12
386,John,36.0,Artist,176383,1
387,Sophia,30.0,Pilot,167253,1
388,Mr. Bean,48.0,Doctor,113159,1
389,Olivia,50.0,Doctor,155081,1
390,Alice,39.0,      Boxer,119238,4
391,Mr. Bean,57.0,Detective,56110,0
392,John,54.0,Doctor,72254,9
393,John,44.0,Comedian,141316,1
394,Sophia,46.0,Comedian,120205,3
395,Liam,49.0,Teacher,163863,0
396,Olivia,27.0,      Boxer,139444,4
397,Alice,35.0,Chef,97840,4
398,Emma,32.0,Artist,100729,2
399,Rocky,25.0,Scientist,30659,5
400,Rocky,52.0,Comedian,69267,40
401,Olivia,50.0,Doctor,194401,2
402,Mr. Bean,48.0,Comedian,161844,4
403,Sherlock,32.0,Doctor,179053,5
404,John,32.0,Software Engineer,68276,2
405,John,23.0,Chef,169878,0
406,Sophia,29.0,Artist,67411,8
407,Sophia,32.0,Doctor,146498,2
408,Jake,40.0,Teacher,49821,1
409,Alice,56.0,Scientist,43963,4
410,John,36.0,Pilot,174798,3
411,Emma,52.0,Teacher,100916,0
412,Mr. Bean,57.0,Detective,155420,2
413,Emma,46.0,Doctor,48634,15
414,Sherlock,40.0,Scientist,119028,3
415,Olivia,40.0,Artist,66948,1
416,Emma,42.0,Software Engineer,143883,0
417,Alice,33.0,Teacher,94768,4
418,Rocky,46.0,Scientist,89476,5
419,Olivia,25.0,Software Engineer,113297,5
420,Rocky,40.0,Detective,105141,8
421,Jake,30.0,      Boxer,142175,1
422,Mr. Bean,41.0,Comedian,184671,5
423,Mr. Bean,39.0,Chef,97425,4
424,Sherlock,40.0,Comedian,137230,0
425,Rocky,41.0,      Boxer,114819,3
426,Rocky,59.0,Software Engineer,113844,5
427,Sherlock,43.0,Chef,40623,7
428,Sophia,26.0,      Boxer,128217,2
429,John,22.0,Teacher,134423,4
430,Jake,24.0,Detective,177554,3
431,Sherlock,40.0,Doctor,41873,5
432,Olivia,54.0,Software Engineer,170761,1
433,Sophia,51.0,      Boxer,99660,4
434,Rocky,25.0,Artist,125085,10
435,Alice,36.0,Doctor,153823,1
436,Alice,41.0,Teacher,186127,4
437,Sherlock,52.0,      Boxer,199529,3
438,Jake,23.0,Software Engineer,43402,4
439,Jake,22.0,Teacher,86148,0
440,Jake,38.0,Software Engineer,198285,3
441,Olivia,44.0,Software Engineer,84133,15
442,Alice,28.0,Chef,146315,2
443,Sherlock,57.0,Chef,82817,2
444,Mr. Bean,57.0,Doctor,113619,0
445,Alice,55.0,Pilot,43059,3
446,Liam,57.0,Comedian,91768,5
447,Liam,45.0,Software Engineer,106418,4
448,Mr. Bean,59.0,Doctor,37507,15
449,Sherlock,45.0,Comedian,136506,2
450,Rocky,49.0,Detective,131851,31
451,Emma,31.0,Pilot,94668,3
452,Emma,25.0,Comedian,107790,4
453,Rocky,38.0,Scientist,162827,3
454,Liam,56.0,Chef,89538,1
455,Mr. Bean,48.0,Pilot,170608,5
456,Sherlock,28.0,Doctor,63214,5
457,Sherlock,31.0,Scientist,168837,2
458,John,20.0,Teacher,162705,1
459,Sophia,27.0,Comedian,114978,4
460,Sophia,32.0,Chef,148077,4
461,Emma,25.0,Teacher,118269,3
462,Sherlock,31.0,Scientist,95144,13
463,Sophia,32.0,Detective,31851,3
464,Alice,56.0,Pilot,70601,2
465,Jake,54.0,Pilot,128362,3
466,Sophia,37.0,Detective,160158,2
467,Rocky,36.0,Scientist,84397,5
468,John,57.0,Scientist,117248,0
469,Rocky,34.0,      Boxer,52600,14
470,Sophia,42.0,Software Engineer,102357,0
471,Liam,34.0,Scientist,163094,3
472,Mr. Bean,53.0,Teacher,163658,4
473,Jake,57.0,Doctor,169548,3
474,Jake,25.0,Pilot,63282,1
475,Sophia,30.0,Doctor,198653,1
476,Sophia,41.0,Pilot,154805,13
477,Sherlock,20.0,Chef,163029,4
478,Alice,44.0,Artist,177975,4
479,Alice,34.0,Detective,158780,2
480,Liam,26.0,Pilot,80708,3
481,Sherlock,22.0,Detective,126604,0
482,Olivia,56.0,Software Engineer,71404,5
483,Sherlock,31.0,Doctor,183741,13
484,Olivia,59.0,Artist,124648,2
485,Sophia,57.0,Software Engineer,158682,5
486,Mr. Bean,59.0,Pilot,196562,3
487,Mr. Bean,23.0,Doctor,193209,2
488,Sherlock,49.0,Pilot,82386,2
489,Emma,21.0,Software Engineer,92013,2
490,John,56.0,Scientist,41192,7
491,John,57.0,Pilot,154180,0
492,Emma,34.0,Artist,145412,1
493,John,55.0,Artist,57720,2
494,Sophia,39.0,Doctor,174500,0
495,Rocky,27.0,Doctor,46975,0
496,John,45.0,      Boxer,137929,0
497,Sherlock,46.0,      Boxer,39870,6
498,Sherlock,47.0,Detective,165951,5
499,Olivia,55.0,Comedian,192618,5
500,Sherlock,59.0,Software Engineer,194886,28
